TV Show,Actor
התסריטאי,יוּסֻף סוויד
ויקי ואני,"אילנית בן-יעקב, איתי זבולון, ישי גולן, מגי אזרזר, עינת שרוף, שי אביבי, שירי גולן"
זאת וזאתי,"אושרית סרוסי, גיתית פישר רודמן, חן רוטמן"
זגורי אימפריה,"אסף בן לולו, דניאל סבג, הילה הרוש, חן אמסלם, יפית אסולין, ישראל אטיאס, מאור זגורי, משה איבגי, נינט טייב, עוז זהבי, קובי מימון, שרה פון שוורצה"
זיגי,"אוראל צברי, אילנית לוי, אמיתי ארמן, אנה זק, אנחל בונני, טל מוסרי, ישראל אטיאס, מוריס כהן, מירי בוהדנה, סנדרה שדה, עדן מאירי, עומר חזן, קווין רובין, שירה לוי, שירלי לוי"
זינזאנה,איילת זורר
זנזורי,יובל סמו
חאנשי,"אושרי כהן, בר ברימר, דניאל מורשת, הנרי וינקלר, טליה ברטפלד, עליזה חנוביץ'"
חדר מלחמה,איילת זורר
חזרות,"אגם רודברג, איתי תורג'מן, ארז דריגס, נועה קולר"
חטופים,"אסי כהן, גל זייד, הדר רצון-רותם, יורם טולדנו, יעל אבקסיס, ישי גולן, מילי אביטל, מיקי לאון, נבו קמחי, סנדי בר, עדי עזרוני"
חסמבה דור 3,"עודד קוטלר, ציפי שביט"
חצויה,"אבי קורניק, אלכס אנסקי, גל לב, דני לשמן, ידידיה ויטל, יואב הייט, יון תומרקין, יוסף אבו ורדה, יעל גרובגלס, לי בירן, מאיה שואף, עמית פרקש, קובי פרג', רונה ליפז-מיכאל, שי אביבי, שמיל בן ארי, שרון אלכסנדר, תומר שרון"
טהרן,"אראש מרנדי, גלן קלוז, דן מור, וסיליס קוקלני, לירז צ'רכי, מו בער-אל, מנשה נוי, נוויד נגהבאן, ניב סולטן, שון טוב, שרבין אלנבי"
"טלנובלה בע""מ","אודיה קורן, אורי אומנותי, גיא לואל, גילת אנקורי, הדס מורנו, טוביה צפיר, טלי שרון, יעל בר זוהר, מלאני פרס, עפר שכטר, רותם אבוהב, שרון אלכסנדר, שרון מלכי-שמש, תמר קינן"
טרויקה,ארמן ג'יגרחניאן
יובל המבולבל (סדרה),"ז'יל בן דוד, יוּסֻף סוויד, יובל שם-טוב"
יומני החופש הגדול,"גאיה גור אריה, כרמל לוטן, ליהי קורנובסקי, מיכאלה אלקין"
יונייטד היי,"Liat Akta, אילן קובץ', אלין גולן, אמיר בנאי, יונתן בר-אור, יורם טולדנו, לירון וייסמן, ענת מגן-שבו, שירה לוי"
יחידה 8200,"Cyril Gueï, Natacha Lindinger, גאיה וייס, כריסטיאן מילה, פטריק ברואל"
ילדות סכסכניות,"טלי שרון, מיה לנדסמן, מנשה נוי, מעיין בלום, ניב סולטן, רבקה מיכאלי, שולי רנד, שרה פון שוורצה"
ילדות רעות,"אוולין הגואל, אורי בנאי, אורן זגמן, אורנה שיפריס, אליענה בקייר, גיא אריאלי, גילי שושן, ולדימיר פרידמן, יונה אליאן, מני פאר, ניר פרידמן, עומר ברנע, קובי מאור, קרן ברגר, שירה קצנלנבוגן, שירי מימון"
ים המוות (סדרת טלוויזיה),"אנה זק, ניב סולטן"
יש לה את זה,"אקי אבני, מאור שוויצר, מגי אזרזר, ניב סולטן, עוז זהבי"
כאן גרים בכיף,"אילן דר, גיא לואל, דניאל מורשת, טוני ברמן, מעיין אלוני, נתי קלוגר, עליזה רוזן, קובי מאור, שירי גדני"
כבודו,"יורם חטב, לוסי אהריש"
כדברא,גילי איצקוביץ'
כוכב נולד 10,צביקה הדר
כוכב נולד 5,צביקה הדר
כל שבת שנייה,ערן איוניר
כפולים,ישי גולן
לאבד את אליס,"איילת זורר, גל תורן"
לבד בבית,"אבי דנגור, גיתית פישר רודמן, יובל שרף, יוסי מרשק, ישראל קטורזה, לוסי איוב, ליאור כלפון, עדי אשכנזי, שחר חסון"
לגעת באושר,"אילנה אביטל, אלי דנקר, אנלי הרפז, דינה לימון, דן תורג'מן, יגאל זקס, נטע הבר, עודד מנסטר, שירה ארד, שרון דוראני, שרון פרנס, תומר רוסו"
להיות איתה,"אביב אלוש, הילה סעדה, רותם סלע"
להעיר את הדב,"אולה שור-סלקטר, יוסי מרשק, יעקב זדה-דניאל, נועה קולר"
לחיי האהבה,"אבי פניני, איריס מרטינז, אסתי קוסוביצקי, גיל פרנק, יהודה לוי, יסמין דאימונד, יעל דואני, יעל הדר, מיכל קפטה, נתן רביץ, סופי צדקה, רפי תבור"
למה מי מת,אורי עטיה
מָנָאיֶיכּ,"ישי גולן, עמוס תמם, שלום אסייג"
מה זה השטויות האלה?!,עדי אשכנזי
מטומטמת,"אבי דנגור, אורנה בנאי, בת חן סבג, בת-אל פאפורה, גאיה שליטא-כץ, גבי עמרני, גלי בן גיאת, גליה ישי, דובר קוסאשווילי, דודו ארז, דורון בן-דוד, דרור קרן, יעקב זדה-דניאל, לואי נופי, ליאור רז, מוקי, מיקי לאון, משה אשכנזי, נדב נייטס, נורמן עיסא, נעמי לבוב, עדי אלון, קובי מאור, רותי אסרסאי, רותם קינן, שמיל בן ארי, שני קליין"
מי זאת? (תוכנית טלוויזיה),"אושרית סרוסי, ג'וי ריגר, מגי אזרזר, נעמה אמית"
מיוחדת,"אופק פסח, בר מיניאלי, דנה לב, נועה אסטנג'לוב"
מיכאלה,"אפרת כהן, נירו לוי, נתן רביץ"
מיקמק - הסדרה,יואב רוטמן
מלכת היופי של ירושלים,"הילה סעדה, יובל שרף, ישראל אוגלבו, מיכאל אלוני, מלי לוי-גרשון, עירית קפלן"
מלנומה אהובתי,"אלון אבוטבול, יגאל עדיקא"
מנגן ושר,"אמיתי יעיש בן אוזיליו, בר צברי, דפנה דקל, עדי אלון, קים אור אזולאי, ששון גבאי"
מסודרים,"אסי כהן, ערן זרחוביץ'"
מסכים,"אניה בוקשטיין, רן דנקר"
מעורב ירושלמי,עמוס לביא
מעילה,"דאנה איבגי, יהודה לוי"
משחק מכור,עינב גלילי
מתים לרגע,"אביגיל הררי, אגם רודברג, אדי קבטנר, מאיסה עבד אלהאדי, עפר שכטר"
נבסו,"גדי יגיל, חנה לסלאו, יוסי וואסה, מירב פלדמן, מסקי שיברו, קובי אריאלי, שמעון מימרן"
נופלות על הרגליים,"מילי אביטל, שני כהן"
נעלמים,"אביב פנקס, אולי שטרנברג, גאיה גור אריה, דולב מסיקה, דניאל ליטמן, טל מוסרי, טלי אורן, יואב רוטמן, יובל ינאי, יוסי טולדו, ירון בן הרוש, כרמל לוטן, לירז חממי, לירית בלבן, מיכל לוי, מנואל אלקסלסי (ורדי), מתן שביט, נועם לוגסי, עדי אלון, שושה גורן"
סברי מרנן,"דביר בנדק, טוביה צפיר, יהורם גאון, יונה אליאן, סנדרה שדה, רותם אבוהב"
סיטון,ששון גבאי
סימני שאלה,יון תומרקין
סרוגים,"אוהד קנולר, יעל שרוני, עמוס תמם"
עבודה ערבית,"דב נבון, מירה עווד, מריאנו אידלמן, נורמן עיסא, סלווה נקארה, סלים דאו, קלרה ח'ורי, שמואל וילוז'ני"
עולמו המופלא של אוגוסטוס אגדתי,"איתי שגב, אפרת רייטן, ארז בן הרוש, גיל ססובר, דורי טפר, דנה דבורין, טל מוסרי, טל מן, יעל בר זוהר, ליאת אחירון, מיכל ינאי, נמרוד רשף, עודד מנשה"
עיר מקלט,"אורי יניב, ארז דריגס, דביר בנדק, חני פירסטנברג, לביא זיטנר, מלי לוי-גרשון, נתן רביץ"
על הספקטרום,"אבי דנגור, אורי גת, בן יוסיפוביץ', גניה סנופ, דור מוסקל, יעקב זדה-דניאל, לירז חממי, מוטי בן ישי, ניב מג'ר, ניר שטראוס, נעמי לבוב, סיגלית פוקס, רותי הולצמן, רזיה ישראלי, ריף נאמן, שאדי מרעי, שראל פיטרמן"
עלילות ארץ גושן,"אבישי שטרית, אור אדרי, גיל קפטן, טוביה רוזנפלד, יאיר להמן, יואל דרורי, עופר בן שבת"
עם סגולה,"אורי גבריאל, אורן זגמן, אלי אילדיס, אלי בן דוד, אסי ישראלוף, אסי כהן, טוביה צפיר, יואב קוטנר, יעל לבנטל, לילך סונין, מירי נבו, עמי אנידג'ר, עמנואל רוזן, צביקה הדר, ציון ברוך, רוי מילר, שלום מיכאלשווילי, שרי גבעתי"
עממיות,"אניה בוקשטיין, מלי לוי-גרשון, נטע גרטי"
עספור,"אביב אלוש, גיא עמיר, גל גדות, דנה פרידר, חנן סביון, נלי תגר, עוז זהבי, עמוס תמם, שלום מיכאלשווילי"
עקרון ההחלפה,"אורי הוכמן, אילנית בן-יעקב, ליאור אשכנזי, ליאת הר לב, מוני מושונוב, מוריס כהן, נוה צור, סמדר קילצ'ינסקי, ענת עצמון, שירה האס"
פאודה,"Hanan Hillo, אורי גבריאל, איציק כהן, הישאם סלימאן, ח'אולה דיבסי, יובל סגל, לטיסיה איידל, ליאור רז, נטע גרטי, סלים דאו, עידן עמדי, צחי הלוי, רונה-לי שמעון, שאדי מרעי, תומר קאפון"
פגע וברח,"ליאור אשכנזי, ליאור רז, סאנה ליית'ן"
פולמון,"דין מירושניקוב, דניאל ליטמן, יובל שרף, מאור שוויצר, מיכל ינאי, תומר קאפון"
פיק אפ,"אוולין הגואל, בר רפאלי, יחיאל אלקבץ, מקס אולארצ'יק, רבקה מיכאלי, ששי קשת"
פלאי קלעים,"דפנה דקל, צחי נוי"
